Barrier,Opportunity,Name,Comments
Low Market Share,Targeted outreach and education,cfadf,vdsgds
Low Market Share,Enabling access for rural and remote to transit,cfadf,vdsgds
Low Market Share,Partnering with employees,cfadf,vdsgds
Low Market Share,Placement in residential neighborhoods,cfadf,vdsgds
Low Market Share,Placement near trip generators,cfadf,vdsgds
Affordability and Price Predictability,MaaS integration,cfadf,vdsgds
Affordability and Price Predictability,Reduced parking requirements,cfadf,vdsgds
Temporal and Spatial Availability,Spatial and temporal demand modeling,cfadf,vdsgds
Temporal and Spatial Availability,Placement in residential neighborhoods,cfadf,vdsgds
Temporal and Spatial Availability,MaaS integration,cfadf,vdsgds
Temporal and Spatial Availability,Placement near transit hubs and frequent transit corridors,cfadf,vdsgds
Temporal and Spatial Availability,Placement near trip generators,cfadf,vdsgds
Temporal and Spatial Availability,Partnering with employees,cfadf,vdsgds
Induced Demand and Externalities,Zero emission fleet,cfadf,vdsgds
Induced Demand and Externalities,MaaS integration,cfadf,vdsgds
Induced Demand and Externalities,Placement near transit hubs and frequent transit corridors,cfadf,vdsgds
Convenience of Competing Modes,MaaS integration,cfadf,vdsgds
Awareness and Familiarity,Targeted outreach and education,cfadf,vdsgds
Awareness and Familiarity,Placement near transit hubs and frequent transit corridors,cfadf,vdsgds
Awareness and Familiarity,Partnering with employees,cfadf,vdsgds
Awareness and Familiarity,Placement near trip generators,cfadf,vdsgds
Awareness and Familiarity,Placement in residential neighborhoods,cfadf,vdsgds
Profitability Operator,Reduced parking/permit fees,cfadf,vdsgds
Fleet Variety,Zero emission fleet,cfadf,vdsgds
Equity,Subsidized fees for low-income,cfadf,vdsgds
Operational Challenges,Placement near transit hubs and frequent transit corridors,cfadf,vdsgds
Operational Challenges,Spatial and temporal demand modeling,cfadf,vdsgds
Operational Challenges,Partnering with employees,cfadf,vdsgds
Operational Challenges,Placement near trip generators,cfadf,vdsgds
Operational Challenges,Placement in residential neighborhoods,cfadf,vdsgds
